sample,question,ground_truth,raw_prediction,prediction,correct,question_type
670,"Has the small tree located in the southeastern corner of the wooded area, near the edge of the property, been removed and replaced by a paved road or sidewalk as part of a new residential development?",Yes,No,no,False,Yes/No
671,"Looking at the lower-left corner of the area, adjacent to the road, what change has occurred between the two images?  **A)** A building was demolished. **B)** A new building was constructed. **C)** The road was widened. **D)** A park was created in the empty lot.",B,B,b,True,Multiple Choice
672,Is there a significant global alteration detectable across these two captures?,No,Yes,yes,False,Yes/No
673,"In the upper central portion of the image, what change occurred to the specific plot of land adjacent to the road running diagonally from the top left?  **A)** A new residential building was constructed. **B)** A pre-existing building was completely demolished. **C)** A large commercial warehouse was built. **D)** The area was converted into a paved parking lot.",A,A,a,True,Multiple Choice
674,"Has a new building been constructed in the northwestern part of the area, situated along the western curve of the residential street where there was previously an open field?",Yes,Yes,yes,True,Yes/No
675,Has a section of sidewalk been newly constructed along the southern edge of the east-west road located at the bottom center of the image?,Yes,Yes,yes,True,Yes/No
676,"Looking at the northwestern corner of the area, what happened to the tree that was originally there?  **A)** It was integrated into a new park. **B)** It was removed as part of road construction. **C)** It was replaced by a larger group of trees. **D)** It remained preserved while the surrounding area was cleared.",B,B,b,True,Multiple Choice
677,What happened to the tree located in the northwest corner of the images?  **A)** It grew significantly. **B)** It was demolished. **C)** It was replaced by a larger grove. **D)** It was relocated to the opposite side of the road.,B,B,b,True,Multiple Choice
678,"Has the large, dense evergreen tree in the northwestern part of the area been cleared to make way for the development of a new road and its adjacent landscaped border?",Yes,Yes,yes,True,Yes/No
679,How would you characterize the level of visual parity and scene consistency between these two captures?  **A)** Significant global alteration across the entire frame. **B)** High degree of temporal coherence and structural stability. **C)** Moderate spatial variance and configuration shift. **D)** Frequent localized deviations from the original state.,B),B,b,True,Multiple Choice
680,"In the southeastern portion of the residential development, has a tree been added to the front yard of the house located on the western side of the main road?",Yes,Yes,yes,True,Yes/No
681,"Has the small tree located in the southwestern corner of the image, along the western edge of the property, been removed?",Yes,Yes,yes,True,Yes/No
682,"Has a new residential building been constructed in the northwest corner of the image, in the area that was previously a vacant lot west of the primary north-south road?",Yes,Yes,yes,True,Yes/No
683,"Focusing on the tree in the middle-right section of the first image, what is its status in the second image?  **A)** It is still present but surrounded by a paved road. **B)** It has been replaced by a residential building. **C)** It has been replaced by a swimming pool. **D)** It has grown significantly larger.",B,B,b,True,Multiple Choice
684,What change has occurred to the sidewalk at the street corner on the far right side of the images?  **A)** It was demolished and replaced with a dirt path. **B)** It was newly constructed as part of the area's development. **C)** It was widened and painted with green bike lane markings. **D)** It was narrowed to create additional space for the road.,B,B,b,True,Multiple Choice
685,"What change occurred to the property in the bottom-left portion of the image, along the residential street?  **A)** A new house was constructed. **B)** An existing building was demolished. **C)** A swimming pool was added to the backyard. **D)** The area was paved for a new parking lot.",A,D,d,False,Multiple Choice
686,"In the southeastern portion of the image, has a tree been planted or grown in the yard space next to the driveway of the house located on the right side of the street?",Yes,Yes,yes,True,Yes/No
